"","gene","term","estimate","statistic","p.value","lod","fdr"
"1","222329_x_at","pheno$hasCancer",-3.47058861993716,-20.1339747600721,6.18643057536689e-28,53.2325517303402,1.378522325109e-23
"2","209057_x_at","pheno$hasCancer",-3.2989733048703,-19.5605287563422,2.69379236665345e-27,51.795613665362,2.68975584366796e-23
"3","206438_x_at","pheno$hasCancer",-3.0606216439982,-19.4466848053946,3.62126622582412e-27,51.5063274066684,2.68975584366796e-23
"4","211565_at","pheno$hasCancer",-3.28874284138719,-19.2694682654286,5.75432059854875e-27,51.05331653698,3.20558814743654e-23
"5","211585_at","pheno$hasCancer",-1.69221592161639,-18.8777107420393,1.61985209979516e-26,50.0401148988603,7.21903286794711e-23
"6","208262_x_at","pheno$hasCancer",-2.93911749650994,-18.2756061690937,8.1962955965766e-26,48.4506277159239,3.04396757964194e-22
"7","217580_x_at","pheno$hasCancer",-2.65629769675712,-18.1999611038453,1.0075030974796e-25,48.2481165222723,3.20717021730542e-22
"8","215182_x_at","pheno$hasCancer",-3.19906127123011,-18.0626192004947,1.46774838088372e-25,47.8788051811769,3.88464623439461e-22
"9","215607_x_at","pheno$hasCancer",-2.31253178749644,-18.0383473660087,1.56899053581436e-25,47.8133189177492,3.88464623439461e-22
"10","220874_at","pheno$hasCancer",-1.88255871904063,-17.9606612605838,1.94322808410997e-25,47.6032740716667,4.33009513982224e-22
"11","216153_x_at","pheno$hasCancer",-2.62974701081497,-17.8258142799768,2.8213323812064e-25,47.2370631168206,5.71524995003838e-22
"12","211697_x_at","pheno$hasCancer",-2.84143813205356,-17.5552838229046,5.99657515249158e-25,46.4961328514585,1.11351403435808e-21
"13","220232_at","pheno$hasCancer",-3.37757593672812,-16.9769413290821,3.08812866042976e-24,44.8837889906622,4.30079818377227e-21
"14","220244_at","pheno$hasCancer",-1.9066366616374,-16.7595002895345,5.77476950214194e-24,44.2674175202235,7.14884382312383e-21
"15","213960_at","pheno$hasCancer",-1.54612612469621,-16.6789685742137,7.29134940121415e-24,44.0377071891938,8.55121782669763e-21
"16","208212_s_at","pheno$hasCancer",-1.29130407962392,-16.5432732621963,1.08189397724945e-23,43.6488867140195,1.0958110679568e-20
"17","220181_x_at","pheno$hasCancer",-1.74817318566989,-16.3416625671315,1.95217104988399e-23,43.0670873322025,1.79194085780796e-20
"18","215311_at","pheno$hasCancer",-1.29176813938755,-16.3316590934069,2.01043492551268e-23,43.0380912986642,1.79194085780796e-20
"19","220725_x_at","pheno$hasCancer",-2.64259426551692,-16.3068696321857,2.16253114062445e-23,42.9661841427842,1.85337236178979e-20
"20","214529_at","pheno$hasCancer",-1.37757964885888,-16.2437539997437,2.60461283493227e-23,42.7827654365105,2.07280670717128e-20
"21","207725_at","pheno$hasCancer",-1.51348392764391,-16.163336935215,3.30340395085865e-23,42.5483620922866,2.51026400732012e-20
"22","217537_x_at","pheno$hasCancer",-1.46062166624995,-16.1556332494349,3.37961316786804e-23,42.525865461207,2.51026400732012e-20
"23","215582_x_at","pheno$hasCancer",-2.06590247148981,-15.9090779731358,7.03870220918375e-23,41.8020072627806,4.61304121550711e-20
"24","216981_x_at","pheno$hasCancer",-2.15121733430416,-15.867107855783,7.98073466455671e-23,41.6780397407992,4.93985307028658e-20
"25","206323_x_at","pheno$hasCancer",-2.79661832359059,-15.8097489118586,9.47855513553358e-23,41.5082645291646,5.32851615332848e-20
"26","212972_x_at","pheno$hasCancer",-1.99966877097427,-15.8067191218844,9.56516834057978e-23,41.4992853647526,5.32851615332848e-20
"27","211050_x_at","pheno$hasCancer",-1.86989019108074,-15.7722450552433,1.06090419879713e-22,41.3970366815351,5.76588494190157e-20
"28","207009_at","pheno$hasCancer",-1.33192626121635,-15.6323380874939,1.61759217147523e-22,40.9805568944157,7.86105908568998e-20
"29","215960_at","pheno$hasCancer",-1.12188378620803,-15.6291658211036,1.63318211467332e-22,40.9710852166979,7.86105908568998e-20
"30","209646_x_at","pheno$hasCancer",-1.930262488661,-15.6241628098756,1.65807915014778e-22,40.956144783402,7.86105908568998e-20
"31","220167_s_at","pheno$hasCancer",-1.77811208068321,-15.4159155040508,3.12082087631576e-22,40.3314701785307,1.3085438085673e-19
"32","217481_x_at","pheno$hasCancer",-1.46809216230394,-15.4106763272483,3.1710885276953e-22,40.3156839326208,1.3085438085673e-19
"33","206057_x_at","pheno$hasCancer",-2.02023106666773,-15.3129330898683,4.27503317081611e-22,40.0205362631906,1.70108150259456e-19
"34","217569_x_at","pheno$hasCancer",-2.23065170210511,-15.2907326365395,4.57589234512304e-22,39.9533307897236,1.74195744666982e-19
"35","216154_at","pheno$hasCancer",-1.32042810165162,-15.2881677064154,4.61200702283304e-22,39.9455621781434,1.74195744666982e-19
"36","216351_x_at","pheno$hasCancer",-2.34642109359978,-15.288148224873,4.61228242846652e-22,39.9455031696271,1.74195744666982e-19
"37","204467_s_at","pheno$hasCancer",-1.03576030894341,-15.266701375552,4.92580625577885e-22,39.8805126594674,1.79937279995935e-19
"38","207240_s_at","pheno$hasCancer",-1.11119395572017,-15.2261822166078,5.57833458447388e-22,39.7575679272845,2.00487144428761e-19
"39","211349_at","pheno$hasCancer",-1.29465700795544,-15.1999830421022,6.04622509257268e-22,39.6779624164588,2.10512552715308e-19
"40","206021_at","pheno$hasCancer",-1.02932898171649,-15.1738532604171,6.55251122969684e-22,39.5984808303299,2.2122667838081e-19
"41","214293_at","pheno$hasCancer",-1.04926210645778,-15.1537664767547,6.97074578478872e-22,39.5373217765509,2.31834519884249e-19
"42","215826_x_at","pheno$hasCancer",-1.98943723322095,-15.143716248316,7.19005467934718e-22,39.5067021520984,2.35611747676313e-19
"43","208427_s_at","pheno$hasCancer",-1.50577551487221,-15.0649304391438,9.17021011482921e-22,39.2662225253847,2.87802523927802e-19
"44","203684_s_at","pheno$hasCancer",-1.13068933930274,-14.978469770044,1.19867033889144e-21,39.0014044448279,3.5613294882024e-19
"45","219578_s_at","pheno$hasCancer",-1.25681728391826,-14.9359984438136,1.36768338048962e-21,38.8709697305258,3.95793360616235e-19
"46","206663_at","pheno$hasCancer",-1.41406492223092,-14.9228309885311,1.4248385115142e-21,38.8304838903513,4.07047135282961e-19
"47","217473_x_at","pheno$hasCancer",-1.27998931803234,-14.9107388016981,1.47945576336594e-21,38.7932845790832,4.17300161709914e-19
"48","206403_at","pheno$hasCancer",-1.25487032885513,-14.900473846845,1.52748139738595e-21,38.7616916765922,4.2546084972439e-19
"49","220287_at","pheno$hasCancer",-1.8131367091459,-14.8740580598042,1.65846047663709e-21,38.6803284579207,4.56240429640794e-19
"50","216877_at","pheno$hasCancer",-1.17584951496344,-14.8618878386405,1.7225777427697e-21,38.6428128263635,4.68099998074844e-19
"51","217133_x_at","pheno$hasCancer",-1.61181199352603,-14.8534798925531,1.76833502334054e-21,38.6168835781642,4.73582999515685e-19
"52","222328_x_at","pheno$hasCancer",-1.57660814305338,-14.7744717745985,2.26329092750499e-21,38.3727864687379,5.79688640661997e-19
"53","222374_at","pheno$hasCancer",-1.02805138434904,-14.7408457208652,2.51453025936272e-21,38.2686542902137,6.30941804116499e-19
"54","222167_at","pheno$hasCancer",-1.59231201577366,-14.7401483334315,2.52002964440912e-21,38.2664930985472,6.30941804116499e-19
"55","222183_x_at","pheno$hasCancer",-1.55319637904977,-14.7283599474909,2.61485445595602e-21,38.2299516031792,6.33905509633524e-19
"56","219651_at","pheno$hasCancer",-1.06790223312963,-14.7282470526152,2.61577983061441e-21,38.2296015663772,6.33905509633524e-19
"57","220877_at","pheno$hasCancer",-1.51971626466556,-14.7194216951029,2.68915528448689e-21,38.2022329699791,6.44327389292704e-19
