"","gene","term","estimate","statistic","p.value","lod","fdr"
"1","200828_s_at","pheno$hasCancer",1.58371131731345,17.2890069045516,1.26943846670801e-24,45.7586322652271,2.17591518105035e-21
"2","200627_at","pheno$hasCancer",1.49139670845281,17.160402589612,1.82870893226581e-24,45.3994878433533,2.91065150983422e-21
"3","201726_at","pheno$hasCancer",1.45340524241559,17.077582847516,2.31560163985813e-24,45.1671770938838,3.43990342273058e-21
"4","218035_s_at","pheno$hasCancer",2.11090759573078,16.8927123022705,3.93295841202083e-24,44.6456949110434,5.15518307618001e-21
"5","201417_at","pheno$hasCancer",2.764324698118,16.5898348173599,9.44660607410281e-24,43.7825535251524,1.05249361574616e-20
"6","208708_x_at","pheno$hasCancer",1.93021352554601,16.5469959681424,1.07021442233689e-23,43.6595833013575,1.0958110679568e-20
"7","201239_s_at","pheno$hasCancer",1.15118075744398,16.386740675458,1.71011882449327e-23,43.1975995797359,1.6568077289645e-20
"8","201698_s_at","pheno$hasCancer",1.51310428354589,16.2442130634964,2.60108710335714e-23,42.7841012656137,2.07280670717128e-20
"9","217736_s_at","pheno$hasCancer",1.75500563279847,16.0021874278883,5.33088263944418e-23,42.0762469809698,3.7365312633407e-20
"10","208290_s_at","pheno$hasCancer",1.7988894849091,15.9999880367663,5.36592920284084e-23,42.0697813642964,3.7365312633407e-20
"11","217832_at","pheno$hasCancer",1.78803546364937,15.9109621582165,6.99915764090229e-23,41.8075674765763,4.61304121550711e-20
"12","210027_s_at","pheno$hasCancer",1.5871580414097,15.8821887283079,7.62835959318336e-23,41.7226093942869,4.85664962328299e-20
"13","200750_s_at","pheno$hasCancer",2.29185316310507,15.8475930122515,8.46132077622891e-23,41.6203241430405,5.09577326639754e-20
"14","201493_s_at","pheno$hasCancer",1.46520664476331,15.8130434320657,9.38527555641709e-23,41.5180269593228,5.32851615332848e-20
"15","201457_x_at","pheno$hasCancer",1.71299868379107,15.7376119192479,1.17741477876565e-22,41.2941671541464,6.24674607505593e-20
"16","211968_s_at","pheno$hasCancer",2.77374707898589,15.7243061878359,1.22555268418731e-22,41.2546058651329,6.3509280143595e-20
"17","205292_s_at","pheno$hasCancer",1.84909703512364,15.6836461956662,1.385377594986e-22,41.1335765251732,7.01599294297116e-20
"18","200044_at","pheno$hasCancer",1.49968226535974,15.5901512697361,1.83784384858503e-22,40.8544933907762,8.53180718292089e-20
"19","208739_x_at","pheno$hasCancer",2.07141007221267,15.5665581670525,1.97403107803924e-22,40.78389470888,8.97700704325477e-20
"20","201229_s_at","pheno$hasCancer",1.66838932567166,15.5355077759804,2.16898545354155e-22,40.6908747581868,9.66630057225329e-20
"21","200873_s_at","pheno$hasCancer",2.02308328774627,15.5106707279993,2.33889588697909e-22,40.6163813691879,1.0219140597952e-19
"22","209669_s_at","pheno$hasCancer",2.01603940333627,15.461140070622,2.71911162198533e-22,40.4675930854752,1.16519162062883e-19
"23","221509_at","pheno$hasCancer",1.81601302393435,15.2816799466794,4.70465011588058e-22,39.9259084520772,1.74722864220278e-19
"24","208974_x_at","pheno$hasCancer",1.86649853703495,15.2175471583601,5.72835074032392e-22,39.7313401642126,2.02610856423235e-19
"25","206052_s_at","pheno$hasCancer",2.01005551700236,15.1875676107937,6.28164638561886e-22,39.6402079786455,2.15344502170377e-19
"26","201113_at","pheno$hasCancer",1.32089859315661,15.1139365687333,7.8818113396879e-22,39.4158980481851,2.54536814611979e-19
